"location_id","address_primary","city","state","zip","zip_suffix","unit_count","bsl_flag","building_type_code","land_use_code","address_confidence_code","county_geoid","block_geoid","h3_9","latitude","longitude"
1289012025,"673 OREGON ST","MEDICINE BOW","WY","82329","",1,"False","C",3,"3","56007","560079681001507","8926a34d0a3ffff",41.90134754,-106.20828903
1289010974,"294 ADAMS ST","HANNA","WY","82327","",1,"False","C",4,"3","56007","560079681001665","89268485aabffff",41.86550796,-106.56261247
1289011694,"404 LINCOLN HWY","MEDICINE BOW","WY","82329","5018",1,"False","E",3,"1","56007","560079681001684","8926a34d1c3ffff",41.89591890,-106.20064027
1289007098,"237 BRIDGE ST","ELK MOUNTAIN","WY","82324","",1,"False","C",2,"3","56007","560079681002373","892684a154fffff",41.68754816,-106.41376258
1289009903,"219 CLARK ST","HANNA","WY","82327","",1,"False","C",1,"1","56007","560079681002665","89268485a8fffff",41.87194650,-106.56782899
1296699085,"4000 CENTRAL AVE","CHEYENNE","WY","82001","1376",1,"False","E",3,"2","56021","560210009002003","892685b6c23ffff",41.15248765,-104.82301251
1296699108,"111 E 8TH AVE","CHEYENNE","WY","82001","1315",1,"False","E",3,"1","56021","560210009002004","892685b6c23ffff",41.15283169,-104.82166737
1296699089,"4000 HOUSE AVE","CHEYENNE","WY","82001","1446",1,"False","E",3,"1","56021","560210009002005","892685b6c37ffff",41.15250266,-104.82006221
1296698924,"3917 CENTRAL AVE","CHEYENNE","WY","82001","",1,"False","E",3,"1","56021","560210009002009","892685b6c23ffff",41.15201761,-104.82219042
1296699086,"102 E 6TH AVE","CHEYENNE","WY","82001","",1,"False","C",3,"1","56021","560210009002009","892685b6c23ffff",41.15169857,-104.82205141
1296703595,"821 W PERSHING BLVD","CHEYENNE","WY","82001","2537",1,"False","E",3,"1","56021","560210010002009","892685b689bffff",41.14578098,-104.83102831
1296696813,"525 RANDALL AVE","CHEYENNE","WY","82001","2772",1,"False","E",3,"2","56021","560210010003003","892685b688fffff",41.14230264,-104.82755196
1296707252,"2515 WARREN AVE","CHEYENNE","WY","82001","3113",1,"False","C",3,"2","56021","560210010004004","892685b6d4bffff",41.14241065,-104.81811702
1296710638,"105 W PLAZA","FE WARREN AFB","WY","82005","2256",1,"False","C",6,"1","56021","560210011002032","892685b4577ffff",41.13585199,-104.88512372
1296723548,"8908 YELLOWSTONE RD","CHEYENNE","WY","82009","1130",1,"False","E",3,"1","56021","560210012001017","8926ae7960bffff",41.20098840,-104.82924013
1296616646,"705 N ELMA ST","CASPER","WY","82601","1504",1,"False","E",3,"2","56025","560250002002002","8926a2bad03ffff",42.85755716,-106.30898900
